FIPS,state,county,monthly_housing,annual_transportation ,total_cost,life_expectancy,male_life_expectancy,female_life_expectancy,,,
46137,SD,Ziebach,623,13395,20871,76.39,74.95,77.83,,,
45069,SC,Marlboro,740,12005,20885,77,76.24,77.74,,,
21189,KY,Owsley,762,11745,20889,70.21,69.19,71.24,,,
5073,AR,Lafayette,704,12445,20893,74.14,73.28,74.97,,,
13037,GA,Calhoun,770,11656,20896,73.95,72.99,74.88,,,
48101,TX,Cottle,745,11971,20911,77.46,76.29,78.66,,,
54109,WV,Wyoming,701,12500,20912,72.69,72.06,73.31,,,
1131,AL,Wilcox,751,11909,20921,72.21,71.29,73.05,,,
13061,GA,Clay,800,11336,20936,74.45,73.35,75.54,,,
1119,AL,Sumter,800,11337,20937,74.82,74.04,75.6,,,
21121,KY,Knox,751,11955,20967,73.25,72.66,73.86,,,
30085,MT,Roosevelt,677,12859,20983,71.2,70.23,72.18,,,
51530,VA,Buena Vista,829,11037,20985,80.08,79.5,80.69,,,
48133,TX,Eastland,715,12432,21012,75.33,74.69,75.97,,,
46031,SD,Corson,648,13242,21018,72.13,70.98,73.42,,,
13017,GA,Ben Hill,743,12109,21025,73.59,72.87,74.34,,,
46041,SD,Dewey,682,12858,21042,71.02,69.7,72.25,,,
54057,WV,Mineral,747,12090,21054,77.41,76.9,77.96,,,
35029,NM,Luna,789,11614,21082,77.22,76.53,77.81,,,
22041,LA,Franklin,732,12299,21083,73.62,72.93,74.29,,,
5065,AR,Izard,732,12320,21104,75.92,75.21,76.64,,,
21135,KY,Lewis,703,12668,21104,74.84,74.09,75.6,,,
20181,KS,Sherman,784,11703,21111,78.33,77.37,79.19,,,
28013,MS,Calhoun,699,12732,21120,74.73,73.99,75.55,,,
48261,TX,Kenedy,558,14424,21120,76.92,74.96,78.89,,,
54103,WV,Wetzel,726,12416,21128,76.42,75.8,77,,,
54041,WV,Lewis,704,12686,21134,75.12,74.48,75.78,,,
5039,AR,Dallas,736,12322,21154,74.44,73.56,75.31,,,
22097,LA,St. Landry,760,12055,21175,74.03,73.57,74.5,,,
29149,MO,Oregon,677,13061,21185,76.08,75.36,76.82,,,
21119,KY,Knott,721,12544,21196,72.98,72.23,73.75,,,
5069,AR,Jefferson,819,11371,21199,74.18,73.67,74.68,,,
28021,MS,Claiborne,691,12911,21203,73.11,72.25,73.99,,,
2013,AK,Aleutians East,1035,8800,21220,83.73,82.45,85.05,,,
46017,SD,Buffalo,660,13304,21224,69.05,67.47,70.63,,,
29223,MO,Wayne,680,13066,21226,73.9,73.26,74.57,,,
29143,MO,New Madrid,718,12611,21227,73.8,73.13,74.49,,,
22127,LA,Winn,766,12039,21231,74.28,73.55,75.03,,,
5075,AR,Lawrence,725,12535,21235,74.83,74.15,75.5,,,
40023,OK,Choctaw,748,12277,21253,73.29,72.62,74,,,
54021,WV,Gilmer,714,12706,21274,76.73,75.89,77.56,,,
38079,ND,Rolette,698,12902,21278,73.02,72.06,73.97,,,
17101,IL,Lawrence,776,11970,21282,76.09,75.44,76.79,,,
5017,AR,Chicot,794,11757,21285,73.35,72.55,74.09,,,
1099,AL,Monroe,764,12118,21286,74.97,74.33,75.64,,,
48083,TX,Coleman,737,12446,21290,75.58,74.83,76.37,,,
42053,PA,Forest,802,11669,21293,76.34,75.51,77.16,,,
1035,AL,Conecuh,754,12248,21296,74.05,73.25,74.88,,,
37153,NC,Richmond,774,12010,21298,74.14,73.61,74.67,,,
5019,AR,Clark,758,12221,21317,75.9,75.22,76.52,,,
28011,MS,Bolivar,812,11577,21321,71.72,71.1,72.35,,,
5093,AR,Mississippi,766,12138,21330,72.66,72.11,73.23,,,
21025,KY,Breathitt,799,11783,21371,70.22,69.45,71,,,
21205,KY,Rowan,746,12428,21380,75.91,75.28,76.55,,,
28151,MS,Washington,842,11290,21394,71.81,71.25,72.39,,,
35033,NM,Mora,707,12918,21402,78.75,77.66,79.75,,,
54069,WV,Ohio,803,11788,21424,77.49,77.06,77.96,,,
37017,NC,Bladen,758,12333,21429,74.56,73.93,75.12,,,
45067,SC,Marion,769,12218,21446,72.02,71.41,72.63,,,
5011,AR,Bradley,740,12603,21483,74.49,73.72,75.33,,,
30093,MT,Silver Bow,832,11499,21483,76.9,76.38,77.42,,,
51105,VA,Lee,763,12334,21490,76.91,76.26,77.52,,,
41037,OR,Lake,763,12343,21499,78.33,77.57,79.1,,,
13267,GA,Tattnall,806,11839,21511,74.93,74.29,75.54,,,
54059,WV,Mingo,815,11731,21511,71.38,70.77,72,,,
54055,WV,Mercer,804,11866,21514,74.06,73.57,74.57,,,
21065,KY,Estill,760,12402,21522,73.23,72.5,74,,,
13279,GA,Toombs,760,12409,21529,74.15,73.54,74.78,,,
48327,TX,Menard,719,12920,21548,77.87,76.83,78.99,,,
51077,VA,Grayson,744,12649,21577,83.73,83.52,83.93,,,
22059,LA,La Salle,729,12850,21598,76.89,76.4,77.34,,,
35023,NM,Hidalgo,766,12432,21624,78.14,77.12,79.14,,,
54007,WV,Braxton,732,12843,21627,76.5,75.77,77.24,,,
54083,WV,Randolph,746,12676,21628,76.9,76.31,77.42,,,
5099,AR,Nevada,755,12570,21630,74.72,73.87,75.56,,,
13261,GA,Sumter,789,12167,21635,74.95,74.36,75.53,,,
48047,TX,Brooks,784,12228,21636,76.41,75.51,77.26,,,
22003,LA,Allen,698,13264,21640,77.13,76.5,77.73,,,
28117,MS,Prentiss,758,12565,21661,75.92,75.3,76.55,,,
5021,AR,Clay,747,12698,21662,74.77,74.07,75.49,,,
21235,KY,Whitley,797,12106,21670,72.59,71.97,73.17,,,
26053,MI,Gogebic,784,12285,21693,78.56,77.94,79.17,,,
22049,LA,Jackson,754,12651,21699,75.07,74.4,75.73,,,
22123,LA,West Carroll,752,12675,21699,75.22,74.47,76.02,,,
48075,TX,Childress,825,11816,21716,76.57,75.66,77.45,,,
47171,TN,Unicoi,750,12717,21717,74.98,74.3,75.61,,,
21159,KY,Martin,877,11196,21720,72.85,72.15,73.54,,,
22009,LA,Avoyelles,770,12481,21721,74.03,73.46,74.59,,,
21099,KY,Hart,727,13003,21727,75.48,74.82,76.13,,,
48427,TX,Starr,766,12537,21729,79.11,78.58,79.63,,,
21127,KY,Lawrence,756,12662,21734,73.37,72.62,74.1,,,
35006,NM,Cibola,739,12867,21735,76.82,76.34,77.25,,,
37165,NC,Scotland,849,11556,21744,74.55,73.97,75.15,,,
1087,AL,Macon,831,11774,21746,72.81,72.08,73.54,,,
30023,MT,Deer Lodge,845,11607,21747,77.17,76.43,77.92,,,
12029,FL,Dixie,796,12201,21753,74.79,74.02,75.56,,,
