FIPS,state,county,monthly_housing,annual_transportation ,total_cost,life_expectancy,male_life_expectancy,female_life_expectancy,,,
13265,GA,Taliaferro,833,12674,22670,75.44,74.13,76.76,,,
8089,CO,Otero,902,11847,22671,76.44,75.83,77.06,,,
28161,MS,Yalobusha,827,12748,22672,73.35,72.55,74.19,,,
47083,TN,Houston,797,13114,22678,75.11,74.3,75.97,,,
21035,KY,Calloway,860,12359,22679,77.42,76.85,77.95,,,
48335,TX,Mitchell,808,12985,22681,75.66,74.77,76.5,,,
26007,MI,Alpena,869,12255,22683,78.7,78.2,79.24,,,
54001,WV,Barbour,800,13087,22687,76.08,75.46,76.72,,,
37091,NC,Hertford,858,12393,22689,75.58,74.95,76.21,,,
47079,TN,Henry,832,12706,22690,74.68,74.11,75.24,,,
28023,MS,Clarke,764,13527,22695,75.04,74.31,75.78,,,
28123,MS,Scott,797,13131,22695,74.16,73.5,74.82,,,
39145,OH,Scioto,900,11897,22697,74.77,74.31,75.21,,,
23003,ME,Aroostook,836,12673,22705,78.71,78.32,79.1,,,
31087,NE,Hitchcock,748,13729,22705,79.17,78.2,80.2,,,
21087,KY,Green,784,13312,22720,77.19,76.44,77.92,,,
30107,MT,Wheatland,753,13688,22724,79.63,78.41,80.83,,,
37181,NC,Vance,883,12128,22724,74.8,74.25,75.34,,,
54067,WV,Nicholas,816,12935,22727,75.36,74.74,75.95,,,
51169,VA,Scott,804,13082,22730,78,77.23,78.67,,,
54009,WV,Brooke,827,12811,22735,77.11,76.54,77.69,,,
18167,IN,Vigo,857,12453,22737,76.45,76.04,76.84,,,
28095,MS,Monroe,830,12780,22740,75.67,75.11,76.25,,,
13305,GA,Wayne,836,12714,22746,74.93,74.33,75.53,,,
47163,TN,Sullivan,899,11959,22747,76.42,76.06,76.79,,,
48191,TX,Hall,810,13028,22748,76.23,75.22,77.15,,,
37111,NC,McDowell,847,12587,22751,78.35,77.84,78.89,,,
38085,ND,Sioux,644,15026,22754,68.59,67.15,70.05,,,
54071,WV,Pendleton,804,13111,22759,79.34,78.55,80.08,,,
31065,NE,Furnas,778,13428,22764,78.44,77.58,79.28,,,
54025,WV,Greenbrier,837,12722,22766,76.48,75.94,77,,,
40005,OK,Atoka,827,12845,22769,76.03,75.37,76.74,,,
1133,AL,Winston,839,12703,22771,74.51,73.86,75.14,,,
35035,NM,Otero,893,12062,22778,78,77.52,78.47,,,
35017,NM,Grant,901,11968,22780,78.25,77.68,78.83,,,
40115,OK,Ottawa,812,13037,22781,74.26,73.7,74.86,,,
40101,OK,Muskogee,876,12275,22787,73.99,73.51,74.51,,,
20011,KS,Bourbon,843,12674,22790,77.03,76.38,77.69,,,
22073,LA,Ouachita,919,11762,22790,75.46,75.06,75.85,,,
13065,GA,Clinch,866,12399,22791,73.14,72.29,74.09,,,
1091,AL,Marengo,882,12208,22792,74.68,73.98,75.39,,,
1013,AL,Butler,850,12593,22793,73.39,72.68,74.13,,,
5129,AR,Searcy,791,13305,22797,76.28,75.5,77.07,,,
26095,MI,Luce,866,12408,22800,78.65,77.81,79.49,,,
5141,AR,Van Buren,860,12486,22806,77.1,76.38,77.76,,,
5149,AR,Yell,767,13605,22809,75.48,74.86,76.09,,,
46005,SD,Beadle,809,13103,22811,79.39,78.76,80.01,,,
5091,AR,Miller,846,12660,22812,75.69,75.17,76.25,,,
48275,TX,Knox,698,14436,22812,77.49,76.56,78.46,,,
5037,AR,Cross,852,12594,22818,73.87,73.14,74.54,,,
54099,WV,Wayne,800,13218,22818,75.94,75.41,76.46,,,
46129,SD,Walworth,796,13269,22821,78.14,77.16,79.03,,,
28067,MS,Jones,835,12802,22822,74.95,74.44,75.45,,,
13167,GA,Johnson,815,13046,22826,75.89,75.04,76.74,,,
48443,TX,Terrell,742,13922,22826,77.47,75.97,78.94,,,
28003,MS,Alcorn,863,12471,22827,74.16,73.58,74.73,,,
21137,KY,Lincoln,810,13108,22828,75.37,74.71,76,,,
35041,NM,Roosevelt,866,12438,22830,77.91,77.23,78.55,,,
46123,SD,Tripp,822,12966,22830,79.1,78.25,79.98,,,
37065,NC,Edgecombe,864,12465,22833,75.06,74.55,75.61,,,
5003,AR,Ashley,836,12803,22835,74.72,74.04,75.32,,,
54051,WV,Marshall,814,13067,22835,75.46,74.9,76.04,,,
1111,AL,Randolph,834,12828,22836,74.65,74.02,75.3,,,
39081,OH,Jefferson,838,12781,22837,75.79,75.36,76.22,,,
22085,LA,Sabine,823,12970,22846,75.4,74.8,76.07,,,
46053,SD,Gregory,771,13597,22849,79.18,78.28,80.1,,,
40029,OK,Coal,768,13638,22854,74.05,73.1,74.98,,,
13009,GA,Baldwin,965,11275,22855,76.09,75.58,76.65,,,
13161,GA,Jeff Davis,791,13372,22864,73.49,72.74,74.24,,,
21085,KY,Grayson,808,13169,22865,74.94,74.3,75.57,,,
13155,GA,Irwin,835,12854,22874,75.45,74.59,76.28,,,
48129,TX,Donley,819,13053,22881,76.46,75.46,77.39,,,
29055,MO,Crawford,809,13175,22883,76.01,75.41,76.6,,,
29123,MO,Madison,811,13155,22887,77.46,76.72,78.25,,,
29197,MO,Schuyler,785,13470,22890,77.17,76.56,77.75,,,
17077,IL,Jackson,906,12019,22891,78.35,77.85,78.82,,,
5137,AR,Stone,867,12488,22892,76.64,75.93,77.37,,,
5047,AR,Franklin,827,12969,22893,75.51,74.81,76.31,,,
51770,VA,Roanoke,977,11173,22897,77.53,77.07,78.01,,,
38033,ND,Golden Valley,702,14475,22899,81.26,79.98,82.47,,,
13321,GA,Worth,827,12976,22900,76.49,75.88,77.11,,,
48315,TX,Marion,884,12297,22905,76.67,76.07,77.21,,,
13003,GA,Atkinson,780,13548,22908,73.92,72.98,74.87,,,
40091,OK,McIntosh,873,12438,22914,75.7,75.14,76.25,,,
39001,OH,Adams,853,12681,22917,75.15,74.57,75.73,,,
1071,AL,Jackson,838,12864,22920,74.13,73.61,74.63,,,
47141,TN,Putnam,919,11897,22925,76.41,75.96,76.88,,,
20065,KS,Graham,712,14382,22926,79.68,78.71,80.64,,,
37107,NC,Lenoir,900,12126,22926,75.06,74.52,75.55,,,
19187,IA,Webster,844,12799,22927,77.74,77.25,78.26,,,
51730,VA,Petersburg,921,11875,22927,78.29,77.47,79.17,,,
32021,NV,Mineral,742,14024,22928,76.6,76.1,77.12,,,
21009,KY,Barren,836,12898,22930,76.33,75.82,76.86,,,
26131,MI,Ontonagon,828,13000,22936,78.4,77.74,79.13,,,
31071,NE,Garfield,771,13684,22936,79.46,78.42,80.53,,,
17107,IL,Logan,899,12149,22937,78.52,78.01,79.05,,,
40011,OK,Blaine,790,13458,22938,75.24,74.51,76,,,
30005,MT,Blaine,822,13075,22939,76.35,75.32,77.36,,,
37161,NC,Rutherford,861,12608,22940,75.58,75.1,76.06,,,
47077,TN,Henderson,822,13077,22941,74.34,73.76,74.94,,,
26061,MI,Houghton,873,12469,22945,79,78.51,79.54,,,
12027,FL,DeSoto,867,12543,22947,79.71,79.14,80.29,,,
38027,ND,Eddy,735,14136,22956,77.22,76.18,78.32,,,
26013,MI,Baraga,873,12481,22957,78.01,77.2,78.75,,,
19029,IA,Cass,783,13562,22958,78.84,78.21,79.49,,,
31057,NE,Dundy,766,13766,22958,78.76,77.67,79.88,,,
42101,PA,Philadelphia,1120,9520,22960,75.49,75.29,75.69,,,
20049,KS,Elk,787,13517,22961,77.27,76.32,78.22,,,
5049,AR,Fulton,857,12687,22971,76.31,75.54,76.98,,,
13175,GA,Laurens,903,12138,22974,75.06,74.49,75.58,,,
29015,MO,Benton,885,12354,22974,76.58,75.93,77.22,,,
21045,KY,Casey,821,13127,22979,75.14,74.45,75.81,,,
29115,MO,Linn,819,13153,22981,76.94,76.25,77.65,,,
2016,AK,Aleutians West,1477,5262,22986,83.73,82.45,85.05,,,
40063,OK,Hughes,806,13316,22988,73.81,73.09,74.58,,,
37083,NC,Halifax,923,11914,22990,74.77,74.23,75.29,,,
28097,MS,Montgomery,889,12323,22991,73.74,72.94,74.57,,,
1121,AL,Talladega,911,12060,22992,74.29,73.82,74.77,,,
40025,OK,Cimarron,674,14909,22997,76.95,75.87,78.02,,,
13005,GA,Bacon,804,13353,23001,72.91,72.1,73.69,,,
18025,IN,Crawford,772,13737,23001,76.1,75.34,76.85,,,
21033,KY,Caldwell,748,14026,23002,75.39,74.67,76.09,,,
13293,GA,Upson,896,12252,23004,73.71,73.09,74.33,,,
17183,IL,Vermilion,856,12739,23011,76.19,75.75,76.62,,,
47133,TN,Overton,811,13289,23021,74.29,73.63,74.96,,,
40141,OK,Tillman,802,13399,23023,74.95,74.1,75.81,,,
47073,TN,Hawkins,862,12690,23034,75.38,74.86,75.87,,,
28145,MS,Union,852,12812,23036,76.15,75.54,76.79,,,
29121,MO,Macon,813,13281,23037,74.89,74.14,75.67,,,
12121,FL,Suwannee,876,12526,23038,75.41,74.85,75.97,,,
29213,MO,Taney,913,12089,23045,76.83,75.97,77.67,,,
29175,MO,Randolph,866,12661,23053,76.33,75.74,76.92,,,
31147,NE,Richardson,754,14012,23060,78.34,77.63,79.06,,,
22053,LA,Jefferson Davis,829,13113,23061,77.28,76.99,77.58,,,
12079,FL,Madison,876,12552,23064,75.35,74.69,76.04,,,
13253,GA,Seminole,848,12895,23071,74.91,74.07,75.75,,,
29079,MO,Grundy,828,13147,23083,77.67,76.97,78.38,,,
47035,TN,Cumberland,870,12643,23083,77.63,77.12,78.09,,,
29205,MO,Shelby,795,13544,23084,76.1,75.22,76.96,,,
46007,SD,Bennett,759,13980,23088,74.69,73.47,76.03,,,
21107,KY,Hopkins,800,13490,23090,75.01,74.51,75.49,,,
48489,TX,Willacy,860,12771,23091,79.62,78.94,80.32,,,
26085,MI,Lake,857,12810,23094,76.82,76.12,77.47,,,
21183,KY,Ohio,744,14168,23096,76.01,75.4,76.66,,,
47063,TN,Hamblen,899,12308,23096,75.02,74.53,75.51,,,
38051,ND,McIntosh,807,13421,23105,80.62,79.78,81.44,,,
42021,PA,Cambria,901,12299,23111,78.34,77.96,78.7,,,
22061,LA,Lincoln,916,12121,23113,77.43,76.9,77.98,,,
48471,TX,Walker,998,11137,23113,77.26,76.78,77.79,,,
28105,MS,Oktibbeha,963,11558,23114,77.93,77.38,78.48,,,
12063,FL,Jackson,895,12378,23118,76.17,75.68,76.67,,,
18083,IN,Knox,822,13254,23118,76.17,75.67,76.69,,,
38069,ND,Pierce,867,12714,23118,79.48,78.53,80.37,,,
48447,TX,Throckmorton,757,14034,23118,77.91,76.6,79.05,,,
26135,MI,Oscoda,856,12852,23124,77.35,76.58,78.1,,,
42023,PA,Cameron,854,12881,23129,79.2,78.29,80.03,,,
21233,KY,Webster,815,13350,23130,75.22,74.48,75.95,,,
24001,MD,Allegany,952,11708,23132,77.6,77.2,78.01,,,
30015,MT,Chouteau,811,13412,23144,79.55,78.68,80.48,,,
48189,TX,Hale,830,13188,23148,77.9,77.35,78.51,,,
54075,WV,Pocahontas,802,13525,23149,76.67,75.91,77.44,,,
28159,MS,Winston,869,12726,23154,75.08,74.36,75.78,,,
47087,TN,Jackson,820,13314,23154,74.03,73.26,74.8,,,
21177,KY,Muhlenberg,823,13288,23164,75.03,74.46,75.57,,,
28043,MS,Grenada,849,12981,23169,72.67,71.95,73.32,,,
38071,ND,Ramsey,834,13163,23171,78.38,77.64,79.16,,,
21011,KY,Bath,820,13334,23174,74.56,73.75,75.4,,,
21173,KY,Montgomery,879,12636,23184,75.98,75.35,76.64,,,
18165,IN,Vermillion,790,13705,23185,75.83,75.21,76.48,,,
21041,KY,Carroll,834,13177,23185,74.19,73.41,75,,,
5051,AR,Garland,948,11810,23186,75.66,75.24,76.1,,,
28009,MS,Benton,658,15290,23186,74.64,73.71,75.58,,,
48273,TX,Kleberg,904,12339,23187,77.66,77.06,78.29,,,
45047,SC,Greenwood,910,12270,23190,76.97,76.48,77.47,,,
17193,IL,White,820,13351,23191,76.88,76.23,77.53,,,
1123,AL,Tallapoosa,878,12663,23199,75.01,74.46,75.58,,,
20125,KS,Montgomery,817,13405,23209,76.26,75.66,76.84,,,
29081,MO,Harrison,819,13385,23213,78.48,77.78,79.22,,,
45087,SC,Union,790,13734,23214,74.05,73.44,74.65,,,
51035,VA,Carroll,832,13232,23216,79.28,78.76,79.83,,,
21101,KY,Henderson,839,13165,23233,76.54,76.04,77.07,,,
48225,TX,Houston,909,12331,23239,75.67,75.05,76.31,,,
17025,IL,Clay,750,14243,23243,77.51,76.86,78.16,,,
45065,SC,McCormick,914,12276,23244,72.67,72.03,73.29,,,
28091,MS,Marion,883,12650,23246,72.65,72.01,73.27,,,
29127,MO,Marion,848,13071,23247,74.75,74.09,75.45,,,
37047,NC,Columbus,895,12507,23247,73.81,73.3,74.37,,,
31161,NE,Sheridan,755,14188,23248,79.07,78.18,79.88,,,
21069,KY,Fleming,839,13184,23252,74.47,73.74,75.19,,,
41025,OR,Harney,839,13185,23253,78.4,77.62,79.16,,,
38103,ND,Wells,803,13618,23254,80.21,79.34,81.02,,,
18135,IN,Randolph,784,13847,23255,77.81,77.22,78.36,,,
12059,FL,Holmes,853,13024,23260,74.74,74.04,75.44,,,
17029,IL,Coles,878,12727,23263,78.42,77.95,78.87,,,
20001,KS,Allen,865,12887,23267,76.57,75.9,77.25,,,
30077,MT,Powell,843,13151,23267,77.54,76.68,78.47,,,
29147,MO,Nodaway,899,12480,23268,79.88,79.3,80.47,,,
42121,PA,Venango,830,13308,23268,77.96,77.49,78.4,,,
17121,IL,Marion,853,13036,23272,75.88,75.21,76.58,,,
31175,NE,Valley,753,14238,23274,80.53,79.68,81.38,,,
47179,TN,Washington,970,11636,23276,76.49,76.08,76.91,,,
29141,MO,Morgan,864,12911,23279,76.01,75.36,76.63,,,
29077,MO,Greene,934,12078,23286,78.13,77.8,78.45,,,
1037,AL,Coosa,852,13070,23294,75.19,74.36,75.99,,,
39033,OH,Crawford,864,12926,23294,77.2,76.71,77.67,,,
16061,ID,Lewis,844,13174,23302,78.63,77.6,79.68,,,
13109,GA,Evans,916,12313,23305,74.74,73.98,75.56,,,
1049,AL,DeKalb,839,13240,23308,75.25,74.77,75.75,,,
19053,IA,Decatur,835,13289,23309,78.29,77.47,79.05,,,
21141,KY,Logan,851,13100,23312,75.81,75.24,76.34,,,
19101,IA,Jefferson,884,12707,23315,80.44,79.83,81.03,,,
19133,IA,Monona,781,13943,23315,77.8,77.08,78.54,,,
54023,WV,Grant,793,13801,23317,78.41,77.68,79.13,,,
37011,NC,Avery,899,12532,23320,77.58,76.93,78.2,,,
48151,TX,Fisher,776,14010,23322,77.71,76.75,78.67,,,
5029,AR,Conway,839,13258,23326,76.13,75.46,76.81,,,
20205,KS,Wilson,784,13918,23326,76.36,75.59,77.09,,,
29131,MO,Miller,806,13664,23336,76.61,75.99,77.25,,,
48109,TX,Culberson,788,13888,23344,78.67,77.51,79.81,,,
48321,TX,Matagorda,811,13614,23346,77.24,76.9,77.61,,,
17145,IL,Perry,839,13280,23348,77.53,76.91,78.12,,,
28075,MS,Lauderdale,937,12110,23354,74.89,74.38,75.39,,,
40013,OK,Bryan,868,12938,23354,75.57,75.05,76.1,,,
18067,IN,Howard,884,12748,23356,77.2,76.75,77.62,,,
22119,LA,Webster,826,13447,23359,74.14,73.62,74.7,,,
13209,GA,Montgomery,855,13102,23362,75.87,74.96,76.78,,,
28079,MS,Leake,847,13200,23364,72.83,72.14,73.55,,,
29035,MO,Carter,836,13333,23365,73.92,72.96,74.82,,,
45031,SC,Darlington,849,13177,23365,73.67,73.18,74.17,,,
45075,SC,Orangeburg,909,12461,23369,74.2,73.74,74.65,,,
46027,SD,Clay,954,11921,23369,80.22,79.53,80.95,,,
29105,MO,Laclede,853,13140,23376,76.29,75.73,76.83,,,
17149,IL,Pike,776,14074,23386,78.53,77.93,79.18,,,
48433,TX,Stonewall,775,14087,23387,77.46,76.4,78.6,,,
28125,MS,Sharkey,964,11823,23391,72.88,71.75,73.94,,,
17109,IL,McDonough,915,12414,23394,77.7,77.31,78.13,,,
17159,IL,Richland,829,13449,23397,78.09,77.44,78.73,,,
37121,NC,Mitchell,878,12861,23397,76.8,76.11,77.4,,,
51750,VA,Radford,941,12109,23401,79.89,79.62,80.16,,,
12133,FL,Washington,855,13143,23403,74.85,74.21,75.52,,,
5063,AR,Independence,865,13025,23405,75.69,75.15,76.26,,,
35005,NM,Chaves,859,13097,23405,76.68,76.18,77.17,,,
21145,KY,McCracken,912,12464,23408,77.19,76.76,77.64,,,
20073,KS,Greenwood,825,13510,23410,76.82,76.01,77.61,,,
17047,IL,Edwards,768,14197,23413,77.46,76.55,78.35,,,
40069,OK,Johnston,831,13442,23414,73.72,72.89,74.53,,,
17069,IL,Hardin,846,13266,23418,75.21,74.28,76.15,,,
48155,TX,Foard,771,14168,23420,77.59,76.3,78.84,,,
1033,AL,Colbert,885,12803,23423,75.07,74.57,75.58,,,
48061,TX,Cameron,927,12300,23424,80.14,79.84,80.44,,,
21083,KY,Graves,832,13445,23429,76.07,75.53,76.6,,,
1011,AL,Bullock,846,13278,23430,73.86,72.92,74.69,,,
8099,CO,Prowers,852,13208,23432,77.69,76.97,78.43,,,
38029,ND,Emmons,798,13858,23434,80.09,79.2,80.95,,,
47123,TN,Monroe,880,12883,23443,75.76,75.23,76.31,,,
19007,IA,Appanoose,821,13595,23447,78.33,77.67,78.98,,,
21039,KY,Carlisle,816,13656,23448,76.62,75.69,77.53,,,
13021,GA,Bibb,1001,11438,23450,73.78,73.38,74.21,,,
13141,GA,Hancock,879,12902,23450,75.28,74.41,76.14,,,
40079,OK,Le Flore,825,13551,23451,74.25,73.75,74.78,,,
48455,TX,Trinity,914,12485,23453,74.4,73.71,75.13,,,
51678,VA,Lexington,1167,9455,23459,75.44,74.79,76.02,,,
30073,MT,Pondera,812,13721,23465,78.88,78.02,79.68,,,
4015,AZ,Mohave,954,12019,23467,75.71,75.35,76.08,,,
54033,WV,Harrison,870,13027,23467,75.94,75.5,76.38,,,
1039,AL,Covington,884,12861,23469,75.15,74.59,75.71,,,
28005,MS,Amite,830,13510,23470,76.19,75.42,76.9,,,
29103,MO,Knox,832,13486,23470,77.44,76.53,78.37,,,
12077,FL,Liberty,834,13470,23478,76.13,75.17,77.01,,,
29125,MO,Maries,846,13331,23483,77.03,76.52,77.58,,,
48419,TX,Shelby,841,13393,23485,74.05,73.37,74.7,,,
13075,GA,Cook,864,13125,23493,74.22,73.55,74.94,,,
20037,KS,Crawford,899,12705,23493,76.81,76.31,77.35,,,
51135,VA,Nottoway,909,12588,23496,78.81,78.16,79.48,,,
48115,TX,Dawson,848,13325,23501,76.97,76.27,77.71,,,
47101,TN,Lewis,846,13352,23504,74.96,74.17,75.72,,,
13275,GA,Thomas,940,12226,23506,75.52,74.97,76.03,,,
46037,SD,Day,848,13330,23506,78.94,78.1,79.76,,,
47107,TN,McMinn,884,12900,23508,74.14,73.52,74.76,,,
22101,LA,St. Mary,923,12435,23511,75.16,74.6,75.7,,,
26119,MI,Montmorency,884,12904,23512,77.43,76.68,78.1,,,
48107,TX,Crosby,749,14525,23513,77.03,76.18,77.85,,,
47185,TN,White,842,13412,23516,74.52,73.94,75.15,,,
29171,MO,Putnam,889,12853,23521,77.73,76.9,78.61,,,
54027,WV,Hampshire,791,14030,23522,77.56,76.94,78.16,,,
1023,AL,Choctaw,871,13074,23526,75.29,74.52,76.03,,,
13031,GA,Bulloch,969,11901,23529,77.07,76.55,77.56,,,
35059,NM,Union,860,13211,23531,77.62,76.65,78.6,,,
47075,TN,Haywood,890,12852,23532,74.64,73.93,75.35,,,
29159,MO,Pettis,897,12769,23533,78.05,77.55,78.56,,,
37045,NC,Cleveland,905,12673,23533,74.81,74.39,75.26,,,
31095,NE,Jefferson,810,13824,23544,78.98,78.23,79.71,,,
21225,KY,Union,810,13825,23545,75.23,74.48,75.97,,,
31169,NE,Thayer,782,14161,23545,79.7,78.91,80.48,,,
54005,WV,Boone,856,13275,23547,72.93,72.34,73.58,,,
40035,OK,Craig,845,13408,23548,74.84,74.16,75.5,,,
26071,MI,Iron,910,12631,23551,79.24,78.65,79.85,,,
29161,MO,Phelps,897,12788,23552,77.26,76.73,77.78,,,
29211,MO,Sullivan,784,14146,23554,78.64,78.08,79.13,,,
13099,GA,Early,887,12911,23555,73.76,72.93,74.59,,,
47013,TN,Campbell,839,13491,23559,74.12,73.58,74.66,,,
20013,KS,Brown,804,13912,23560,77.76,77.01,78.45,,,
5115,AR,Pope,875,13068,23568,76.81,76.33,77.33,,,
20089,KS,Jewell,746,14616,23568,79.99,78.99,80.9,,,
1045,AL,Dale,867,13166,23570,76.26,75.79,76.79,,,
48437,TX,Swisher,875,13071,23571,77.92,77.05,78.76,,,
5059,AR,Hot Spring,844,13446,23574,75.61,75.06,76.15,,,
18117,IN,Orange,840,13495,23575,76.68,76.06,77.31,,,
23029,ME,Washington,915,12596,23576,77.22,76.67,77.72,,,
48323,TX,Maverick,915,12599,23579,78.72,77.34,80.3,,,
51021,VA,Bland,807,13897,23581,79.27,78.84,79.68,,,
19137,IA,Montgomery,838,13526,23582,78.21,77.56,78.87,,,
37027,NC,Caldwell,856,13310,23582,75.93,75.49,76.37,,,
51081,VA,Greensville,967,11978,23582,81.81,81.05,82.69,,,
42083,PA,McKean,829,13635,23583,77.63,77.13,78.11,,,
8009,CO,Baca,803,13948,23584,77.95,76.97,78.92,,,
18075,IN,Jay,779,14236,23584,77.25,76.65,77.84,,,
21203,KY,Rockcastle,794,14057,23585,74.17,73.44,74.88,,,
29215,MO,Texas,858,13289,23585,78.06,77.56,78.57,,,
32011,NV,Eureka,448,18211,23587,75.48,73.91,77.05,,,
13101,GA,Echols,826,13678,23590,77.31,76.19,78.44,,,
17045,IL,Edgar,845,13457,23597,77.33,76.73,77.89,,,
39111,OH,Monroe,811,13865,23597,77.65,76.99,78.27,,,
51790,VA,Staunton,944,12274,23602,77.3,76.67,77.94,,,
54097,WV,Upshur,823,13728,23604,76.91,76.34,77.54,,,
17135,IL,Montgomery,900,12805,23605,77.84,77.31,78.4,,,
29057,MO,Dade,835,13585,23605,76.96,76.22,77.81,,,
29011,MO,Barton,853,13371,23607,77.97,77.18,78.7,,,
39099,OH,Mahoning,947,12243,23607,77.24,76.92,77.58,,,
23021,ME,Piscataquis,882,13031,23615,78.03,77.41,78.67,,,
41045,OR,Malheur,904,12768,23616,78.41,77.89,78.93,,,
40095,OK,Marshall,808,13921,23617,73.1,72.49,73.71,,,
37033,NC,Caswell,849,13437,23625,76.16,75.52,76.8,,,
48043,TX,Brewster,945,12286,23626,80.19,79.37,81.06,,,
48025,TX,Bee,893,12918,23634,77.87,77.26,78.47,,,
37123,NC,Montgomery,913,12681,23637,77.33,76.72,77.96,,,
45049,SC,Hampton,902,12814,23638,74.48,73.83,75.21,,,
1055,AL,Etowah,945,12300,23640,73.85,73.44,74.29,,,
53075,WA,Whitman,961,12108,23640,81.4,80.88,81.87,,,
46089,SD,McPherson,927,12522,23646,79.17,78.29,80.04,,,
5081,AR,Little River,810,13928,23648,74.98,74.25,75.68,,,
12017,FL,Citrus,1012,11506,23650,76.73,76.36,77.08,,,
21021,KY,Boyle,938,12394,23650,77.02,76.49,77.59,,,
26109,MI,Menominee,851,13438,23650,79.74,79.18,80.24,,,
29179,MO,Reynolds,841,13561,23653,75.41,74.47,76.28,,,
47039,TN,Decatur,885,13034,23654,74.05,73.38,74.77,,,
22001,LA,Acadia,803,14021,23657,74.23,73.68,74.74,,,
13287,GA,Turner,931,12490,23662,74.14,73.31,75,,,
19035,IA,Cherokee,806,13990,23662,80.13,79.5,80.71,,,
28149,MS,Warren,942,12359,23663,74.3,73.77,74.83,,,
48331,TX,Milam,914,12695,23663,76.82,76.25,77.44,,,
13213,GA,Murray,858,13368,23664,74.91,74.3,75.51,,,
47099,TN,Lawrence,871,13212,23664,75.33,74.77,75.86,,,
46107,SD,Potter,870,13229,23669,79.22,78.22,80.23,,,
20111,KS,Lyon,884,13063,23671,78.91,78.39,79.45,,,
13249,GA,Schley,914,12706,23674,76.26,75.11,77.36,,,
20167,KS,Russell,806,14003,23675,78.91,78.14,79.68,,,
21161,KY,Mason,901,12863,23675,75.59,74.87,76.31,,,
48017,TX,Bailey,794,14148,23676,78.22,77.33,79.09,,,
48463,TX,Uvalde,843,13561,23677,78.43,77.85,79.03,,,
5013,AR,Calhoun,859,13370,23678,75.71,74.68,76.65,,,
21155,KY,Marion,869,13253,23681,75,74.32,75.72,,,
28035,MS,Forrest,927,12559,23683,74.73,74.24,75.21,,,
13289,GA,Twiggs,848,13508,23684,74.66,73.77,75.53,,,
13059,GA,Clarke,1003,11651,23687,78.35,77.93,78.77,,,
18141,IN,St. Joseph,938,12434,23690,77.98,77.65,78.28,,,
29111,MO,Lewis,780,14330,23690,77.49,76.75,78.23,,,
1061,AL,Geneva,836,13661,23693,75.54,74.94,76.15,,,
29203,MO,Shannon,840,13613,23693,75.7,75.15,76.23,,,
39115,OH,Morgan,885,13075,23695,77.66,76.96,78.34,,,
46009,SD,Bon Homme,790,14216,23696,81.3,80.46,82.1,,,
20009,KS,Barton,843,13581,23697,78.66,78.06,79.23,,,
54017,WV,Doddridge,756,14628,23700,76.91,76.1,77.66,,,
37131,NC,Northampton,912,12760,23704,76.11,75.46,76.76,,,
47053,TN,Gibson,897,12947,23711,74.14,73.64,74.69,,,
5035,AR,Crittenden,891,13020,23712,72.31,71.78,72.85,,,
13185,GA,Lowndes,960,12202,23722,76.04,75.6,76.48,,,
13313,GA,Whitfield,910,12804,23724,77.06,76.63,77.5,,,
37061,NC,Duplin,875,13228,23728,77.14,76.62,77.62,,,
32027,NV,Pershing,891,13037,23729,74.1,73.54,74.68,,,
17081,IL,Jefferson,894,13008,23736,77.21,76.68,77.74,,,
20165,KS,Rush,814,13968,23736,79.29,78.35,80.3,,,
18153,IN,Sullivan,818,13924,23740,75.8,75.2,76.41,,,
21097,KY,Harrison,900,12940,23740,75.71,75.03,76.36,,,
48385,TX,Real,883,13144,23740,76.74,75.54,77.81,,,
48247,TX,Jim Hogg,831,13769,23741,77.19,76.15,78.17,,,
37095,NC,Hyde,779,14395,23743,77.25,76.36,78.19,,,
40105,OK,Nowata,847,13579,23743,76.22,75.41,76.94,,,
29227,MO,Worth,778,14408,23744,77.75,77.17,78.32,,,
5055,AR,Greene,867,13342,23746,75.06,74.49,75.61,,,
39079,OH,Jackson,922,12682,23746,74.58,74,75.16,,,
48255,TX,Karnes,790,14266,23746,77.02,76.3,77.79,,,
37003,NC,Alexander,832,13766,23750,77.48,76.94,77.97,,,
31013,NE,Box Butte,849,13565,23753,78.71,77.98,79.44,,,
1015,AL,Calhoun,911,12826,23758,74.02,73.58,74.43,,,
5145,AR,White,862,13415,23759,75.87,75.41,76.37,,,
5033,AR,Crawford,884,13154,23762,75.97,75.47,76.47,,,
51197,VA,Wythe,851,13551,23763,72.16,71.51,72.79,,,
51680,VA,Lynchburg,1025,11463,23763,79.07,78.55,79.56,,,
13023,GA,Bleckley,882,13180,23764,75.79,75,76.56,,,
13119,GA,Franklin,946,12412,23764,74.79,74.15,75.47,,,
48263,TX,Kent,707,15281,23765,77.32,75.88,78.67,,,
13317,GA,Wilkes,890,13086,23766,74.85,74.09,75.68,,,
45001,SC,Abbeville,869,13338,23766,76.96,76.35,77.59,,,
48347,TX,Nacogdoches,941,12474,23766,76.15,75.6,76.66,,,
48375,TX,Potter,926,12654,23766,73.91,73.46,74.34,,,
42097,PA,Northumberland,960,12249,23769,78.27,77.88,78.67,,,
19179,IA,Wapello,887,13132,23776,77.67,77.18,78.18,,,
39013,OH,Belmont,912,12832,23776,77.54,77.13,77.95,,,
30101,MT,Toole,911,12846,23778,78.48,77.44,79.49,,,
